file_path,model_name,chi2,alpha,teff,logg,fsed,met,plot_color,plot_ms,plot_alpha
/home/dylan/Research/Models/SonoraDiamondback/t2100g31f3_m-0.5_co1.0.spec,t2100g31f3_m-0.5_co1.0.spec,36803.093933883356,1.8607687209305938e-22,2100.0,3.5,3,-0.5,xkcd:robin's egg,o,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1200g100f3_m-0.5_co1.0.spec,t1200g100f3_m-0.5_co1.0.spec,40954.475169378544,1.8685324600308393e-21,1200.0,4.0,3,-0.5,xkcd:robin's egg,s,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1600g316f8_m+0.5_co1.0.spec,t1600g316f8_m+0.5_co1.0.spec,20937.78282622686,6.914768565955121e-22,1600.0,4.5,8,0.5,xkcd:royal blue,d,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1200g3160f4_m+0.5_co1.0.spec,t1200g3160f4_m+0.5_co1.0.spec,3264.410121678902,4.409816781051215e-21,1200.0,5.5,4,0.5,xkcd:navy green,v,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1100g316f8_m-0.5_co1.0.spec,t1100g316f8_m-0.5_co1.0.spec,55781.70908522226,1.7606710937181998e-21,1100.0,4.5,8,-0.5,xkcd:royal blue,d,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1000g1000f2_m-0.5_co1.0.spec,t1000g1000f2_m-0.5_co1.0.spec,5055.934106542946,1.126018148317908e-20,1000.0,5.0,2,-0.5,xkcd:bright lavender,P,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1300g1000f2_m-0.5_co1.0.spec,t1300g1000f2_m-0.5_co1.0.spec,11470.709866798334,2.3107884405790716e-21,1300.0,5.0,2,-0.5,xkcd:bright lavender,P,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1200g100f4_m-0.5_co1.0.spec,t1200g100f4_m-0.5_co1.0.spec,44435.967408161836,1.7093859786628357e-21,1200.0,4.0,4,-0.5,xkcd:navy green,s,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1900g100f4_m0.0_co1.0.spec,t1900g100f4_m0.0_co1.0.spec,31589.78799842387,3.0348869353537664e-22,1900.0,4.0,4,0.0,xkcd:navy green,s,0.666
/home/dylan/Research/Models/SonoraDiamondback/t2200g100f3_m+0.5_co1.0.spec,t2200g100f3_m+0.5_co1.0.spec,36907.22568915989,1.563661532950506e-22,2200.0,4.0,3,0.5,xkcd:robin's egg,s,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1300g100f3_m0.0_co1.0.spec,t1300g100f3_m0.0_co1.0.spec,24029.413019954714,1.6770340098701505e-21,1300.0,4.0,3,0.0,xkcd:robin's egg,s,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1700g3160f3_m0.0_co1.0.spec,t1700g3160f3_m0.0_co1.0.spec,24019.53280763432,5.705168409390139e-22,1700.0,5.5,3,0.0,xkcd:robin's egg,v,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1900g3160f1_m-0.5_co1.0.spec,t1900g3160f1_m-0.5_co1.0.spec,31414.79387965982,3.490262344382377e-22,1900.0,5.5,1,-0.5,xkcd:cherry,v,0.333
/home/dylan/Research/Models/SonoraDiamondback/t2300g100f1_m+0.5_co1.0.spec,t2300g100f1_m+0.5_co1.0.spec,38510.92649590085,1.2924922724418393e-22,2300.0,4.0,1,0.5,xkcd:cherry,s,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1400g3160f3_m-0.5_co1.0.spec,t1400g3160f3_m-0.5_co1.0.spec,16697.241442956743,1.5417242395967673e-21,1400.0,5.5,3,-0.5,xkcd:robin's egg,v,0.333
/home/dylan/Research/Models/SonoraDiamondback/t2100g316f3_m-0.5_co1.0.spec,t2100g316f3_m-0.5_co1.0.spec,38302.0389778103,1.8723160774947052e-22,2100.0,4.5,3,-0.5,xkcd:robin's egg,d,0.333
